"Description","added_date","agency_logo","agency_name","amenities","area","area_unit","bathrooms","bedrooms","city","contact_name","currency","external_id","latitude","location","longitude","phone_number","photos/0","photos/1","photos/2","photos/3","photos/4","photos/5","photos/6","photos/7","photos/8","photos/9","photos/10","photos/11","photos/12","photos/13","photos/14","photos/15","photos/16","photos/17","photos/18","photos/19","photos/20","photos/21","photos/22","photos/23","photos/24","photos/25","photos/26","photos/27","photos/28","photos/29","photos/30","photos/31","photos/32","photos/33","photos/34","photos/35","photos/36","photos/37","photos/38","photos/39","photos/40","photos/41","photos/42","photos/43","photos/44","photos/45","photos/46","photos/47","photos/48","photos/49","price","property_type","purpose","source","title","url"
"2 Bed Apartment at Warda Hamna Is Available For Rent Building: Warda Hamna Location: Warda Hamna, Street #98, Sector G-11/3, Islamabad, Pakistan. Apartment Layout: 2 Bedrooms with 2 Baths Lounge Drawing Room Store Kitchen Balcony 1 Car Parking Underground Basement Amenities: Family Residence Only 24/7 Security Services & CCTV Monitored Secure Environment E-Tag Assisted Dedicated Car Parking 24/7 Reception Staff High Speed Passenger Elevators Backup Power Supply for Common Areas Water Filtration Plant Fire Fighting System Excellent Maintenance Services Cleaning & Garbage Disposal Staff Separate Gas & Electricity Meter Call Me For Further Details","2026-03-13T19:24:15.000Z","https://media.zameen.com/thumbnails/119217493-120x90.webp","Buraq Estate Deals","Built in year | View: Yes | Parking Spaces | Lobby in Building: Yes | Double Glazed Windows: Yes | Central Heating: Yes | Flooring: Tiles | Electricity Backup: Other | Waste Disposal: Yes | Floor | Floors in Building: 7 | Elevators: 4 | Service Elevators in Building: Yes | Other Main Features: Yes | Bedrooms: 2 | Bathrooms: 2 | Servant Quarters | Drawing Room: Yes | Dining Room: Yes | Kitchens | Study Room: Yes | Prayer Room: Yes | Powder Room : Yes | Gym: Yes | Store Rooms | Steam Room: Yes | Lounge or Sitting Room: Yes | Laundry Room: Yes | Other Rooms: Yes | Broadband Internet Access: Yes | Satellite or Cable TV Ready: Yes | Intercom: Yes | Community Lawn or Garden: Yes | Community Gym: Yes | First Aid or Medical Centre: Yes | Day Care Centre: Yes | Kids Play Area: Yes | Barbeque Area: Yes | Mosque: Yes | Community Centre: Yes | Other Community Facilities: Yes | Nearby Schools: Yes | Nearby Hospitals: Yes | Nearby Shopping Malls: Yes | Nearby Restaurants: Yes | Distance From Airport (kms): Yes | Nearby Public Transport Service: Yes | Other Nearby Places: Yes | Maintenance Staff: Yes | Security Staff: Yes | Laundry or Dry Cleaning Facility: Yes | Communal/Shared Kitchen: Yes | Facilities for Disabled: Yes | Other Facilities: Yes","1650","sqft","2","2","Islamabad","Asad Mehmood Mehsud","PKR","53887822","33.669533","G-11","73.000073","+923335342255","https://media.zameen.com/thumbnails/294883245-800x600.webp","https://media.zameen.com/thumbnails/294883246-800x600.webp","https://media.zameen.com/thumbnails/294883247-800x600.webp","https://media.zameen.com/thumbnails/294883248-800x600.webp","https://media.zameen.com/thumbnails/294883249-800x600.webp","https://media.zameen.com/thumbnails/294883250-800x600.webp","https://media.zameen.com/thumbnails/294883251-800x600.webp","https://media.zameen.com/thumbnails/294883252-800x600.webp","https://media.zameen.com/thumbnails/294883253-800x600.webp","https://media.zameen.com/thumbnails/294883254-800x600.webp","https://media.zameen.com/thumbnails/294883255-800x600.webp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"110000","flat","rent","zameen.com","2 BedRooms Luxury Apartment Is Available For Rent In ( Warda Hamna Residence ) , Sector G-11","https://www.zameen.com/Property/islamabad_g-11_2_bedrooms_luxury_apartment_is_available_for_rent_in_warda_hamna_residence_sector_g-11-53887822-168-4.html"
"Constitution Avenue 1 Bedrooms Modern Furnished Apartment Lake View 810 Sq ft For Rent","2026-03-13T19:04:08.000Z","https://media.zameen.com/thumbnails/24879774-120x90.webp","Real Estate One","Built in year: 2022 | View: Lake  | Parking Spaces: 1 | Lobby in Building: Yes | Flooring: Tiles | Electricity Backup: Generator | Floor | Floors in Building: 23 | Elevators | Other Main Features: HOT LOCATION | Furnished: Yes | Bedrooms: 3 | Bathrooms: 3 | Servant Quarters: 1 | Drawing Room: Yes | Dining Room: Yes | Kitchens: 1 | Study Room: Yes | Prayer Room: Yes | Powder Room : Yes | Gym: Yes | Store Rooms: 1 | Steam Room: Yes | Lounge or Sitting Room: Yes | Laundry Room: Yes | Other Rooms: 1 | Broadband Internet Access: Yes | Satellite or Cable TV Ready: Yes | Intercom: Yes | Other Business and Communication Facilities: Yes | Community Lawn or Garden: Yes | Community Swimming Pool: Yes | Community Gym: Yes | First Aid or Medical Centre: Yes | Day Care Centre: Yes | Kids Play Area: Yes | Barbeque Area: Yes | Mosque: Yes | Community Centre: Yes | Other Community Facilities: Yes | Sauna: Yes | Jacuzzi: Yes | Other Healthcare and Recreation Facilities: Yes | Nearby Schools: LGS | Nearby Hospitals: Yes | Nearby Shopping Malls: Dolmen Mall | Nearby Restaurants: Karak Khel | Distance From Airport (kms): 8 Kms | Nearby Public Transport Service: Yes | Other Nearby Places: Yes | Maintenance Staff: Yes | Security Staff: Yes | Facilities for Disabled: Yes | Other Facilities: 24/7 Electricity backup","810","sqft","1","1","Islamabad","Muhammad Azhar Ali Khan","PKR","53781829","33.713468351011","Constitution Avenue, One Constitution Avenue","73.107924784662","+92518311210","https://media.zameen.com/thumbnails/293922753-800x600.webp","https://media.zameen.com/thumbnails/293922754-800x600.webp","https://media.zameen.com/thumbnails/293922755-800x600.webp","https://media.zameen.com/thumbnails/293922756-800x600.webp","https://media.zameen.com/thumbnails/293922757-800x600.webp","https://media.zameen.com/thumbnails/293922758-800x600.webp","https://media.zameen.com/thumbnails/293922759-800x600.webp","https://media.zameen.com/thumbnails/293922760-800x600.webp","https://media.zameen.com/thumbnails/293922761-800x600.webp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150000","flat","rent","zameen.com","Constitution Avenue 1 Bedrooms Modern Furnished Apartment Lake View 810 Sq ft","https://www.zameen.com/Property/constitution_avenue_one_constitution_avenue_constitution_avenue_1_bedrooms_modern_furnished_apartment_lake_view_810_sq_ft-53781829-21856-4.html"
"Diplomatic Enclave 2 Bedroom Furnished Apartment Lake Facing For Rent in Royal 1470 Sq ft","2026-03-13T18:57:14.000Z","https://media.zameen.com/thumbnails/24879774-120x90.webp","Real Estate One","Built in year: 2016 | View: Margalla | Parking Spaces: 1 | Lobby in Building: Yes | Flooring: Tiles | Electricity Backup: Generator | Floor | Floors in Building: 5 | Elevators","1470","sqft","3","2","Islamabad","Muhammad Azhar Ali Khan","PKR","53938968","33.728873","Diplomatic Enclave","73.119628","+92518311210","https://media.zameen.com/thumbnails/295349281-800x600.webp","https://media.zameen.com/thumbnails/295349282-800x600.webp","https://media.zameen.com/thumbnails/295349283-800x600.webp","https://media.zameen.com/thumbnails/295349284-800x600.webp","https://media.zameen.com/thumbnails/295349285-800x600.webp","https://media.zameen.com/thumbnails/295349286-800x600.webp","https://media.zameen.com/thumbnails/295349287-800x600.webp","https://media.zameen.com/thumbnails/295349288-800x600.webp","https://media.zameen.com/thumbnails/295349289-800x600.webp","https://media.zameen.com/thumbnails/295349290-800x600.webp","https://media.zameen.com/thumbnails/295349291-800x600.webp","https://media.zameen.com/thumbnails/295349292-800x600.webp","https://media.zameen.com/thumbnails/295349293-800x600.webp","https://media.zameen.com/thumbnails/295349294-800x600.webp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200000","flat","rent","zameen.com","Diplomatic Enclave 2 Bedroom Furnished Apartment Lake Facing For Rent in Royal 1470 Sq ft","https://www.zameen.com/Property/islamabad_diplomatic_enclave_diplomatic_enclave_2_bedroom_furnished_apartment_lake_facing_for_rent_in_royal_1470_sq_ft-53938968-429-4.html"
"Brand New modern house Available for rent in Bahria enclave. Basement+ground+1st portions","2026-03-13T16:45:33.000Z",,,"Bedrooms: 14 | Bathrooms: 12 | Servant Quarters: 2 | Kitchens: 3 | Nearby Schools: Yes | Nearby Hospitals: Yes | Nearby Shopping Malls: Yes | Nearby Restaurants: Yes | Distance From Airport (kms): yes  | Nearby Public Transport Service: Yes | Other Nearby Places: Golf Club  | Security Staff: Yes | Other Facilities: 2 Kanal Cutting","13","marla","0","10","Islamabad","Abdul Khaliq","PKR","53938593","33.692638","Bahria Town, Bahria Enclave","73.218813","+923005778058","https://media.zameen.com/thumbnails/295346993-800x600.webp","https://media.zameen.com/thumbnails/295346994-800x600.webp","https://media.zameen.com/thumbnails/295346995-800x600.webp","https://media.zameen.com/thumbnails/295346996-800x600.webp","https://media.zameen.com/thumbnails/295346997-800x600.webp","https://media.zameen.com/thumbnails/295346998-800x600.webp","https://media.zameen.com/thumbnails/295346999-800x600.webp","https://media.zameen.com/thumbnails/295347000-800x600.webp","https://media.zameen.com/thumbnails/295347001-800x600.webp","https://media.zameen.com/thumbnails/295347002-800x600.webp","https://media.zameen.com/thumbnails/295347003-800x600.webp","https://media.zameen.com/thumbnails/295347004-800x600.webp","https://media.zameen.com/thumbnails/295347005-800x600.webp","https://media.zameen.com/thumbnails/295347006-800x600.webp","https://media.zameen.com/thumbnails/295347007-800x600.webp","https://media.zameen.com/thumbnails/295347008-800x600.webp","https://media.zameen.com/thumbnails/295347009-800x600.webp","https://media.zameen.com/thumbnails/295347010-800x600.webp","https://media.zameen.com/thumbnails/295347011-800x600.webp","https://media.zameen.com/thumbnails/295347012-800x600.webp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"220000","house","rent","zameen.com","13 Marla House For Rent","https://www.zameen.com/Property/bahria_town_bahria_enclave_13_marla_house_for_rent-53938593-1705-4.html"
"3 Bedrooms, 4 Bathrooms, 1 Study Room, Tv Lounge, Kitchen, Car Parking, Gas Meter, Electric Meter, Water Boring, Near To Markaz, Top Location","2026-03-13T16:33:37.000Z","https://media.zameen.com/thumbnails/53851640-120x90.webp","Shahid Estate","Nearby Schools: Yes | Nearby Hospitals: Yes | Nearby Shopping Malls: Yes | Nearby Restaurants: Yes | Nearby Public Transport Service: Yes | Other Nearby Places: Yes | Security Staff: Yes","4","marla","4","3","Islamabad","Mardan Khan","PKR","53911322","33.701636","D-12","72.948532","+923339511676","https://media.zameen.com/thumbnails/295097371-800x600.webp","https://media.zameen.com/thumbnails/295097372-800x600.webp","https://media.zameen.com/thumbnails/295097373-800x600.webp","https://media.zameen.com/thumbnails/295097374-800x600.webp","https://media.zameen.com/thumbnails/295097375-800x600.webp","https://media.zameen.com/thumbnails/295097376-800x600.webp","https://media.zameen.com/thumbnails/295097377-800x600.webp","https://media.zameen.com/thumbnails/295097378-800x600.webp","https://media.zameen.com/thumbnails/295097379-800x600.webp","https://media.zameen.com/thumbnails/295097380-800x600.webp","https://media.zameen.com/thumbnails/295097381-800x600.webp","https://media.zameen.com/thumbnails/295097382-800x600.webp","https://media.zameen.com/thumbnails/295097383-800x600.webp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"115000","house","rent","zameen.com","Beautifull 4.4 Marla Full House For Rent In Sector D-12","https://www.zameen.com/Property/islamabad_d-12_beautifull_4_4_marla_full_house_for_rent_in_sector_d-12-53911322-160-4.html"
"Affordable Rental Unit According To Your Taste Is Available In A Highly Desirable Location. Islamabad Is Well Connected Through Roads. So, Wherever You Live, Places Will Always Be Highly Accessible. Of All The Attractions Of This Property, Its Price-Tag Of Rs. 2250 Is Perhaps The Most Important One. All The Important Amenities And Facilities Are Made Available In Askari Heights 4. You Know, A Similar 10 Marla Sized Property Can Turn Out To Be Really Hard To Find, So You Should Definitely Grab This Offer While It'S Still Available. The Flat Is Designed And Developed As Per The Exact Buyers' Demands. Our Representative Will Get In Touch With You Quickly After You Request A Meeting.","2026-03-13T16:30:15.000Z","https://media.zameen.com/thumbnails/80478900-120x90.webp","Askari Property","Built in year: 2018 | View: south face  | Parking Spaces: 1 | Lobby in Building: Yes | Double Glazed Windows: Yes | Central Air Conditioning: Yes | Central Heating: Yes | Flooring: Marble | Electricity Backup: Other | Waste Disposal: Yes | Floor | Floors in Building: 7 | Elevators: 1 | Service Elevators in Building: Yes | Other Main Features: CCTV, Maintenance & Security Staff, AAA Grade Construction Quality. | Furnished: Yes | Bedrooms: 3 | Bathrooms: 4 | Servant Quarters: 1 | Drawing Room: Yes | Dining Room: Yes | Kitchens: 1 | Study Room: Yes | Prayer Room: Yes | Powder Room : Yes | Gym: Yes | Store Rooms: 1 | Steam Room: Yes | Lounge or Sitting Room: Yes | Laundry Room: Yes | Other Rooms: yes  | Broadband Internet Access: Yes | Satellite or Cable TV Ready: Yes | Business Center or Media Room in Building: Yes | Conference Room in Building: Yes | Intercom: Yes | ATM Machines: Yes | Other Business and Communication Facilities: yes  | Community Lawn or Garden: Yes | Community Swimming Pool: Yes | Community Gym: Yes | First Aid or Medical Centre: Yes | Day Care Centre: Yes | Kids Play Area: Yes | Barbeque Area: Yes | Mosque: Yes | Community Centre: Yes | Other Community Facilities: yes  | Sauna: Yes | Jacuzzi: Yes | Other Healthcare and Recreation Facilities: Yes | Nearby Schools: Schools | Nearby Hospitals: Hospital | Nearby Shopping Malls: Shopping Malls | Nearby Restaurants: Restaurant | Distance From Airport (kms): 25 | Nearby Public Transport Service: Yes | Other Nearby Places: Lake City | Maintenance Staff: Yes | Security Staff: Yes | Laundry or Dry Cleaning Facility: Yes | Communal/Shared Kitchen: Yes | Facilities for Disabled: Yes | Pet Policy: Allowed | Other Facilities: Yes","10","marla","3","3","Islamabad","Adnan Abid Malik","PKR","48759977","33.537183327939","DHA Defence, DHA Defence Phase 5, DHA Phase 5 - Sector H, Askari Heights 4","73.225040669979","+923319875999","https://media.zameen.com/thumbnails/245011534-800x600.webp","https://media.zameen.com/thumbnails/245011525-800x600.webp","https://media.zameen.com/thumbnails/245011526-800x600.webp","https://media.zameen.com/thumbnails/245011527-800x600.webp","https://media.zameen.com/thumbnails/245011528-800x600.webp","https://media.zameen.com/thumbnails/245011529-800x600.webp","https://media.zameen.com/thumbnails/245011530-800x600.webp","https://media.zameen.com/thumbnails/245011531-800x600.webp","https://media.zameen.com/thumbnails/245011532-800x600.webp","https://media.zameen.com/thumbnails/245011533-800x600.webp","https://media.zameen.com/thumbnails/245011535-800x600.webp","https://media.zameen.com/thumbnails/245011539-800x600.webp","https://media.zameen.com/thumbnails/245011540-800x600.webp","https://media.zameen.com/thumbnails/245011541-800x600.webp","https://media.zameen.com/thumbnails/245011542-800x600.webp","https://media.zameen.com/thumbnails/245011543-800x600.webp","https://media.zameen.com/thumbnails/245011544-800x600.webp","https://media.zameen.com/thumbnails/245011545-800x600.webp","https://media.zameen.com/thumbnails/245011546-800x600.webp","https://media.zameen.com/thumbnails/245011547-800x600.webp","https://media.zameen.com/thumbnails/245011548-800x600.webp","https://media.zameen.com/thumbnails/245011549-800x600.webp","https://media.zameen.com/thumbnails/245011550-800x600.webp","https://media.zameen.com/thumbnails/245011551-800x600.webp","https://media.zameen.com/thumbnails/245011552-800x600.webp","https://media.zameen.com/thumbnails/245011553-800x600.webp","https://media.zameen.com/thumbnails/245011554-800x600.webp","https://media.zameen.com/thumbnails/245011555-800x600.webp","https://media.zameen.com/thumbnails/245011556-800x600.webp","https://media.zameen.com/thumbnails/245011557-800x600.webp","https://media.zameen.com/thumbnails/245011558-800x600.webp","https://media.zameen.com/thumbnails/245011559-800x600.webp","https://media.zameen.com/thumbnails/245011560-800x600.webp","https://media.zameen.com/thumbnails/245011561-800x600.webp","https://media.zameen.com/thumbnails/245011562-800x600.webp","https://media.zameen.com/thumbnails/245011563-800x600.webp","https://media.zameen.com/thumbnails/245011564-800x600.webp","https://media.zameen.com/thumbnails/245011565-800x600.webp","https://media.zameen.com/thumbnails/245011566-800x600.webp","https://media.zameen.com/thumbnails/245011567-800x600.webp","https://media.zameen.com/thumbnails/245011568-800x600.webp","https://media.zameen.com/thumbnails/245011569-800x600.webp","https://media.zameen.com/thumbnails/245011570-800x600.webp","https://media.zameen.com/thumbnails/245011571-800x600.webp","https://media.zameen.com/thumbnails/245011572-800x600.webp","https://media.zameen.com/thumbnails/245011573-800x600.webp",,,,,"58000","flat","rent","zameen.com","10 Marla Flat For Rent In Askari Heights 4 Islamabad","https://www.zameen.com/Property/dha_phase_5_sector_h_askari_heights_4_10_marla_flat_for_rent_in_askari_heights_4_islamabad-48759977-21450-4.html"
"Furnished 4 Bed Apartment Available for rent Also for sale purchase and rent call for more details Original vedio available","2026-03-13T11:26:19.000Z",,"Islamabad Real Estate","Lobby in Building: Yes | Double Glazed Windows: Yes | Central Air Conditioning: Yes | Drawing Room: Yes | Dining Room: Yes | Study Room: Yes | Prayer Room: Yes | Powder Room : Yes | Gym: Yes | Steam Room: Yes | Lounge or Sitting Room: Yes | Laundry Room: Yes | Broadband Internet Access: Yes | Satellite or Cable TV Ready: Yes | Business Center or Media Room in Building: Yes | Conference Room in Building: Yes | Intercom: Yes | ATM Machines: Yes | Community Lawn or Garden: Yes | Community Swimming Pool: Yes | Community Gym: Yes | First Aid or Medical Centre: Yes | Day Care Centre: Yes | Kids Play Area: Yes | Barbeque Area: Yes | Mosque: Yes | Community Centre: Yes | Nearby Schools: Yes | Nearby Hospitals: Yes | Nearby Shopping Malls: Yes | Nearby Restaurants: Yes | Distance From Airport (kms): 45km | Nearby Public Transport Service: Yes | Other Nearby Places: Yes | Security Staff: Yes | Other Facilities: available","18","marla","4","4","Islamabad","Fawad Fayyaz","PKR","53818527","33.679211","F-11, F-11/1","72.988787","+923405658823","https://media.zameen.com/thumbnails/294253435-800x600.webp","https://media.zameen.com/thumbnails/294253436-800x600.webp","https://media.zameen.com/thumbnails/294253437-800x600.webp","https://media.zameen.com/thumbnails/294253438-800x600.webp","https://media.zameen.com/thumbnails/294253439-800x600.webp","https://media.zameen.com/thumbnails/294253440-800x600.webp","https://media.zameen.com/thumbnails/294253441-800x600.webp","https://media.zameen.com/thumbnails/294253442-800x600.webp","https://media.zameen.com/thumbnails/294253443-800x600.webp","https://media.zameen.com/thumbnails/294253444-800x600.webp","https://media.zameen.com/thumbnails/294253445-800x600.webp","https://media.zameen.com/thumbnails/294253446-800x600.webp","https://media.zameen.com/thumbnails/294253447-800x600.webp","https://media.zameen.com/thumbnails/294253448-800x600.webp","https://media.zameen.com/thumbnails/294253449-800x600.webp","https://media.zameen.com/thumbnails/294253450-800x600.webp","https://media.zameen.com/thumbnails/294253451-800x600.webp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"220000","flat","rent","zameen.com","Furnished 4 Bed Apartment F-11","https://www.zameen.com/Property/f_11_f-11_1_furnished_4_bed_apartment_f-11-53818527-3282-4.html"
"Prime Location Beautiful Newly Constructed House 3 Floors Lower Ground Floor ( Swimming Pool Gym and 3 Servant Quarter) Ground Floor ( 4 Bedroom attached bath 2 TV Lounge 2 Kitchen) 1st Floor ( 4 Bedroom attached bath 2 TV Lounge 2 Kitchen) Roof top ( solar installed) Curtains & Ac Installed Prefer Forginers executives","2026-03-13T09:55:47.000Z","https://media.zameen.com/thumbnails/20474838-120x90.webp","Jeddah Property","Built in year: 2026 | View: beautiful  | Parking Spaces: 8 | Double Glazed Windows: Yes | Central Air Conditioning: Yes | Central Heating: Yes | Flooring: Tiles | Electricity Backup: Other | Waste Disposal: Yes | Floors: 3 | Bedrooms: 8 | Bathrooms: 8 | Servant Quarters: 3 | Drawing Room: Yes | Dining Room: Yes | Kitchens: 4 | Study Room: Yes | Prayer Room: Yes | Powder Room : Yes | Gym: Yes | Steam Room: Yes | Lounge or Sitting Room: Yes | Laundry Room: Yes | Broadband Internet Access: Yes | Satellite or Cable TV Ready: Yes | Intercom: Yes | Community Lawn or Garden: Yes | Community Swimming Pool: Yes | Community Gym: Yes | First Aid or Medical Centre: Yes | Day Care Centre: Yes | Kids Play Area: Yes | Barbeque Area: Yes | Mosque: Yes | Community Centre: Yes | Lawn or Garden: Yes | Swimming Pool: Yes | Sauna: Yes | Jacuzzi: Yes | Nearby Schools: Yes | Nearby Hospitals: Yes | Nearby Shopping Malls: Yes | Nearby Restaurants: Yes | Distance From Airport (kms): 10 | Nearby Public Transport Service: Yes | Other Nearby Places: Yes | Security Staff: Yes | Other Facilities: Yes","2","kanal","6","8","Islamabad","M. Zubair H. Mughal","PKR","53931326","33.720413","F-7","73.056493","+923335109349","https://media.zameen.com/thumbnails/295289227-800x600.webp","https://media.zameen.com/thumbnails/295289228-800x600.webp","https://media.zameen.com/thumbnails/295289229-800x600.webp","https://media.zameen.com/thumbnails/295289230-800x600.webp","https://media.zameen.com/thumbnails/295289231-800x600.webp","https://media.zameen.com/thumbnails/295289232-800x600.webp","https://media.zameen.com/thumbnails/295289233-800x600.webp","https://media.zameen.com/thumbnails/295289234-800x600.webp","https://media.zameen.com/thumbnails/295289226-800x600.webp","https://media.zameen.com/thumbnails/295289235-800x600.webp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3000000","house","rent","zameen.com","Brand New Luxury 8 Bedroom House With Swimming Pool","https://www.zameen.com/Property/islamabad_f-7_brand_new_luxury_8_bedroom_house_with_swimming_pool-53931326-165-4.html"
"ONE CONSTITUTION 1 BED FURNISHED APARTMENT AVAILABLE FOR RENT APARTMENT IS SITUATED ON THE HIGHER FLOORS OF THE BUILDING MAINTENANCE CHARGES INCLUDED IN THE RENT FULLY FURNISHED READY TO MOVE IN WITH MARGALLA VIEWS","2026-03-13T09:26:18.000Z",,,"Built in year: 2019 | View: MARGALLA | Parking Spaces | Lobby in Building: Yes | Double Glazed Windows: Yes | Central Air Conditioning: Yes | Central Heating: Yes | Flooring: Tiles | Electricity Backup: Generator | Waste Disposal: Yes | Floor: 12 | Floors in Building: 22 | Elevators | Service Elevators in Building: Yes | Other Main Features: Yes | Furnished: Yes | Bedrooms: 1 | Bathrooms: 1 | Drawing Room: Yes | Dining Room: Yes | Kitchens: 1 | Study Room: Yes | Prayer Room: Yes | Powder Room : Yes | Gym: Yes | Steam Room: Yes | Lounge or Sitting Room: Yes | Laundry Room: Yes | Other Rooms: 1 | Broadband Internet Access: Yes | Satellite or Cable TV Ready: Yes | Business Center or Media Room in Building: Yes | Conference Room in Building: Yes | Intercom: Yes | ATM Machines: Yes | Other Business and Communication Facilities: Yes | Community Lawn or Garden: Yes | Community Swimming Pool: Yes | Community Gym: Yes | First Aid or Medical Centre: Yes | Day Care Centre: Yes | Kids Play Area: Yes | Barbeque Area: Yes | Mosque: Yes | Community Centre: Yes | Other Community Facilities: Yes | Sauna: Yes | Jacuzzi: Yes | Other Healthcare and Recreation Facilities: Yes | Nearby Schools: Yes | Nearby Hospitals: Yes | Nearby Shopping Malls: Yes | Nearby Restaurants: Yes | Distance From Airport (kms): Yes | Nearby Public Transport Service: Yes | Other Nearby Places: Yes","712","sqft","1","1","Islamabad","Imran Bhatti","PKR","53889835","33.713468351011","Constitution Avenue, One Constitution Avenue","73.107924784662","+923092000500","https://media.zameen.com/thumbnails/294901034-800x600.webp","https://media.zameen.com/thumbnails/294901035-800x600.webp","https://media.zameen.com/thumbnails/294901036-800x600.webp","https://media.zameen.com/thumbnails/294901037-800x600.webp","https://media.zameen.com/thumbnails/294901038-800x600.webp","https://media.zameen.com/thumbnails/294901039-800x600.webp","https://media.zameen.com/thumbnails/294901040-800x600.webp","https://media.zameen.com/thumbnails/294901041-800x600.webp","https://media.zameen.com/thumbnails/294901042-800x600.webp","https://media.zameen.com/thumbnails/294901043-800x600.webp","https://media.zameen.com/thumbnails/294901044-800x600.webp","https://media.zameen.com/thumbnails/294901045-800x600.webp","https://media.zameen.com/thumbnails/294901046-800x600.webp","https://media.zameen.com/thumbnails/294901047-800x600.webp","https://media.zameen.com/thumbnails/294901048-800x600.webp","https://media.zameen.com/thumbnails/294901049-800x600.webp","https://media.zameen.com/thumbnails/294901050-800x600.webp","https://media.zameen.com/thumbnails/294901051-800x600.webp","https://media.zameen.com/thumbnails/294901052-800x600.webp","https://media.zameen.com/thumbnails/294901053-800x600.webp","https://media.zameen.com/thumbnails/294901054-800x600.webp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"180000","flat","rent","zameen.com","ONE CONSTITUTION 1 BED FURNISHED APARTMENT AVAILABLE FOR RENT","https://www.zameen.com/Property/constitution_avenue_one_constitution_avenue_one_constitution_1_bed_furnished_apartment_available_for_rent-53889835-21856-4.html"
"Experience Luxury and Security in the Heart of Islamabads Most Exclusive Zone. Available for rent is a premium, fully newly furnished 2-bedroom apartment located in the prestigious Karakoram Diplomatic Enclave. Designed for those who prioritize elegance, comfort, and peace of mind, this apartment offers a turnkey living solution in the safest sector of the capital. Key Features: Accommodation: 2 Spacious Bedrooms with attached modern bathrooms. Interior: Professionally curated interior with brand-new, contemporary furniture and high-quality upholstery. Kitchen: Fully equipped modular kitchen with latest appliances and sleek cabinetry. Fittings: High-end sanitary ware and premium electrical fixtures throughout the unit. Climate Control: Central heating and cooling systems for year-round comfort. Building Amenities: Security: Located within the high-security Diplomatic Enclave with 24/7 surveillance and gated access. Convenience: High-speed elevators, dedicated parking, and 100% power backup. Lifestyle: Access to a fitness center/gym, walking tracks, and proximity to elite cafes and grocery stores (like Loafology and Esajees). Views: Beautifully designed balconies offering serene views of the enclave. Pricing & Terms: Rent: 330,000 PKR per month Status: Ready to move in This property is ideal for foreign missions, international NGOs, or corporate professionals seeking a sophisticated lifestyle in a secure environment. In addition to our featured property, we specialize in a wide range of real estate services across all of Islamabad's most desirable CDA sectors. Whether you're looking to rent or buy, we have exclusive listings in: * E-7, F-6, F-7, F-8, F-10, & F-11 * The Diplomatic Enclave * Luxury Apartments and High-Rises: The Centaurus, Sukh Chain, Silver Oaks, and One Constitution Avenue Let us help you find your perfect home or investment property in Islamabad's most sought-after locations. Contact us today to discuss your specific needs. In addition to our featured property, we specialize in a wide range of real estate services across all of Islamabad's most desirable CDA sectors. Whether you're looking to rent or buy, we have exclusive listings in: * E-7, F-6, F-7, F-8, F-10, & F-11 * The Diplomatic Enclave * Luxury Apartments and High-Rises: The Centaurus, Sukh Chain, Silver Oaks, and One Constitution Avenue Let us help you find your perfect home or investment property in Islamabad's most sought-after locations. Contact us today to discuss your specific needs.","2026-03-13T07:20:08.000Z","https://media.zameen.com/thumbnails/20471594-120x90.webp","Property Expert","View: good | Parking Spaces: 1 | Lobby in Building: Yes | Double Glazed Windows: Yes | Flooring: Tiles | Furnished: Yes | Bedrooms: 2 | Bathrooms: 2 | Dining Room: Yes | Kitchens: 1 | Gym: Yes | Lounge or Sitting Room: Yes | Security Staff: Yes","1605","sqft","2","2","Islamabad","Salar Ali butt","PKR","53840502","33.728873","Diplomatic Enclave","73.119628","+923335118441","https://media.zameen.com/thumbnails/294452962-800x600.webp","https://media.zameen.com/thumbnails/294452963-800x600.webp","https://media.zameen.com/thumbnails/294452964-800x600.webp","https://media.zameen.com/thumbnails/294452965-800x600.webp","https://media.zameen.com/thumbnails/294452966-800x600.webp","https://media.zameen.com/thumbnails/294452967-800x600.webp","https://media.zameen.com/thumbnails/294452968-800x600.webp","https://media.zameen.com/thumbnails/294452969-800x600.webp","https://media.zameen.com/thumbnails/294452970-800x600.webp","https://media.zameen.com/thumbnails/294452971-800x600.webp","https://media.zameen.com/thumbnails/294452972-800x600.webp","https://media.zameen.com/thumbnails/294452973-800x600.webp","https://media.zameen.com/thumbnails/294452974-800x600.webp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"330000","flat","rent","zameen.com","2 Bed Fully Furnished Luxury Apartment for Rent Karakoram Diplomatic Enclave","https://www.zameen.com/Property/islamabad_diplomatic_enclave_2_bed_fully_furnished_luxury_apartment_for_rent_karakoram_diplomatic_enclave-53840502-429-4.html"
