"Description","added_date","agency_logo","agency_name","amenities","area","area_unit","bathrooms","bedrooms","city","contact_name","currency","external_id","latitude","location","longitude","phone_number","photos/0","photos/1","photos/2","photos/3","photos/4","photos/5","photos/6","photos/7","photos/8","photos/9","photos/10","photos/11","photos/12","photos/13","photos/14","photos/15","photos/16","photos/17","photos/18","photos/19","photos/20","photos/21","photos/22","photos/23","photos/24","photos/25","photos/26","photos/27","photos/28","photos/29","photos/30","photos/31","photos/32","photos/33","photos/34","photos/35","photos/36","photos/37","photos/38","photos/39","photos/40","photos/41","photos/42","photos/43","photos/44","photos/45","photos/46","photos/47","photos/48","photos/49","price","property_type","purpose","source","title","url"
"All facilities are available full-developed area Underground electricity, gas, sewerage, Boring water, And PTCL 5G service near park, masjid and Market, Banks are available CCTV security services, Boundary wall Proper main Entrance gates Security staff other maintenance staff available Last CDA Sector in Islamabad Final NOC Issued by CDA Neat clean and Green society NOTE; All Sizes of Plots/Houses/shop Residential and commercials are available","2026-03-16T20:35:31.000Z","https://media.zameen.com/thumbnails/20470593-120x90.webp","Al-Hafeez Associates","Possesion: Yes | Sewerage: Yes | Electricity: Yes | Water Supply: Yes | Sui Gas: Yes | Boundary Wall: Yes | Nearby Schools: Yes | Nearby Hospitals: Yes | Nearby Shopping Malls: Dolman Mall | Nearby Restaurants: Yes | Distance From Airport (kms): 5 | Nearby Public Transport Service: Yes | Other Nearby Places: Yes | Security Staff: Yes | Other Facilities: Yes","8","marla","0","0","Islamabad","MIAN MUHAMMAD HAFEEZ","PKR","53726131","33.631987","F-17","72.880297","+923005558394","https://media.zameen.com/thumbnails/293432396-800x600.webp","https://media.zameen.com/thumbnails/293432397-800x600.webp","https://media.zameen.com/thumbnails/293432398-800x600.webp","https://media.zameen.com/thumbnails/293432399-800x600.webp","https://media.zameen.com/thumbnails/293432400-800x600.webp","https://media.zameen.com/thumbnails/293432401-800x600.webp","https://media.zameen.com/thumbnails/293432402-800x600.webp","https://media.zameen.com/thumbnails/293432403-800x600.webp","https://media.zameen.com/thumbnails/293432404-800x600.webp","https://media.zameen.com/thumbnails/293432405-800x600.webp","https://media.zameen.com/thumbnails/293432406-800x600.webp","https://media.zameen.com/thumbnails/293432407-800x600.webp","https://media.zameen.com/thumbnails/293432408-800x600.webp","https://media.zameen.com/thumbnails/293432409-800x600.webp","https://media.zameen.com/thumbnails/293432410-800x600.webp","https://media.zameen.com/thumbnails/293432411-800x600.webp","https://media.zameen.com/thumbnails/293432412-800x600.webp","https://media.zameen.com/thumbnails/293432413-800x600.webp","https://media.zameen.com/thumbnails/293432414-800x600.webp","https://media.zameen.com/thumbnails/293432415-800x600.webp","https://media.zameen.com/thumbnails/293432416-800x600.webp","https://media.zameen.com/thumbnails/293432417-800x600.webp","https://media.zameen.com/thumbnails/293432418-800x600.webp","https://media.zameen.com/thumbnails/293432419-800x600.webp","https://media.zameen.com/thumbnails/293432420-800x600.webp","https://media.zameen.com/thumbnails/293432421-800x600.webp","https://media.zameen.com/thumbnails/293432422-800x600.webp","https://media.zameen.com/thumbnails/293432423-800x600.webp","https://media.zameen.com/thumbnails/293432424-800x600.webp","https://media.zameen.com/thumbnails/293432425-800x600.webp","https://media.zameen.com/thumbnails/293432426-800x600.webp","https://media.zameen.com/thumbnails/293432427-800x600.webp","https://media.zameen.com/thumbnails/293432428-800x600.webp","https://media.zameen.com/thumbnails/293432429-800x600.webp","https://media.zameen.com/thumbnails/293432430-800x600.webp","https://media.zameen.com/thumbnails/293432431-800x600.webp","https://media.zameen.com/thumbnails/293432432-800x600.webp",,,,,,,,,,,,,,"8500000","residential plot","sale","zameen.com","POSSESSION PLOT FOR SALE READY TO CONSTRUCTION","https://www.zameen.com/Property/islamabad_f-17_possession_plot_for_sale_ready_to_construction-53726131-335-2.html"
"BEAUTIFUL LOCATION. ALL FACILITIES AVAILABLE FULL DEVELOPED SECTOR FINAL NOC APPROVED BY CDA CDA APPROVED SECTOR T&TECHS F-17 ISLAMABAD ALL SIZE RESIDENTIAL AND COMMERCIAL PLOTS AND HOUSE APARTMENT SHOP AVAILABLE FOR SALE AND RENT FACILITIES IN F-17 FULL GATED SOCIETY BEAUTIFUL LOCATION GAS ELECTRICITY WATER SUPPLY BANK SCHOOL BAKERY MOSQUE SHOPPING MALLS HOSPITALS PARK PLAY GROUND PTCL 5G AVAILABLE 24/7 SECURITY CCTV CAMERA NEW NEAR TO ISLAMABAD INTERNATIONAL AIRPORT 6KM METRO BUS 5KM GT ROAD N5 4KM M-1 M-2 MOTORWAY 2KM","2026-03-16T20:11:38.000Z","https://media.zameen.com/thumbnails/20470593-120x90.webp","Al-Hafeez Associates","Possesion: Yes | Corner: Yes | Park Facing: Yes | Disputed: Yes | File: Yes | Balloted: Yes | Sewerage: Yes | Electricity: Yes | Water Supply: Yes | Sui Gas: Yes | Boundary Wall: Yes | Other Plot Features: Yas | Nearby Schools: APS | Nearby Hospitals: Yes | Nearby Shopping Malls: Giga Mall | Nearby Restaurants: Yes | Distance From Airport (kms): 35 | Nearby Public Transport Service: shutter service | Other Nearby Places: Mini Zoo  | Security Staff: Yes | Other Facilities: 24/7 Security","8","marla","0","0","Islamabad","Mian Raees Ahmad","PKR","52425722","33.631987","F-17","72.880297","+923317070900","https://media.zameen.com/thumbnails/276971764-800x600.webp","https://media.zameen.com/thumbnails/276971765-800x600.webp","https://media.zameen.com/thumbnails/276971766-800x600.webp","https://media.zameen.com/thumbnails/276971767-800x600.webp","https://media.zameen.com/thumbnails/276971768-800x600.webp","https://media.zameen.com/thumbnails/276971769-800x600.webp","https://media.zameen.com/thumbnails/276971770-800x600.webp","https://media.zameen.com/thumbnails/276971771-800x600.webp","https://media.zameen.com/thumbnails/276971772-800x600.webp","https://media.zameen.com/thumbnails/276971773-800x600.webp","https://media.zameen.com/thumbnails/276971774-800x600.webp","https://media.zameen.com/thumbnails/276971775-800x600.webp","https://media.zameen.com/thumbnails/276971776-800x600.webp","https://media.zameen.com/thumbnails/276971777-800x600.webp","https://media.zameen.com/thumbnails/276971778-800x600.webp","https://media.zameen.com/thumbnails/276971779-800x600.webp","https://media.zameen.com/thumbnails/276971780-800x600.webp","https://media.zameen.com/thumbnails/276971781-800x600.webp","https://media.zameen.com/thumbnails/276971782-800x600.webp","https://media.zameen.com/thumbnails/276971783-800x600.webp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3550000","residential plot","sale","zameen.com","F. 17 T&T ECHS 30*60 PLOT FOR SALE ON GOOD LOCATION FIRST Come First Avail","https://www.zameen.com/Property/islamabad_f-17_f_17_t_t_echs_30_60_plot_for_sale_on_good_location_first_come_first_avail-52425722-335-2.html"
"Level plot in a prime location. Cheapest price in the area. Ideal for investment and future construction.","2026-03-16T20:05:11.000Z","https://media.zameen.com/thumbnails/292232986-120x90.webp","Sheikh Sons Real Estate Consultant And Builders","Possesion: Yes | Balloted: Yes | Sewerage: Yes | Electricity: Yes | Water Supply: Yes | Sui Gas: Yes | Boundary Wall: Yes","7","marla","0","0","Islamabad","Sheikh Hamza","PKR","53949561","33.602682","I-15, I-15/2","72.942681","+923335353816","https://media.zameen.com/thumbnails/295436658-800x600.webp","https://media.zameen.com/thumbnails/295436659-800x600.webp","https://media.zameen.com/thumbnails/295436660-800x600.webp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9900000","residential plot","sale","zameen.com","7 Marla Plot for Sale in Sector I-15/2, Islamabad.","https://www.zameen.com/Property/i_15_i-15_2_7_marla_plot_for_sale_in_sector_i-15_2_islamabad-53949561-8263-2.html"
"DHA Phase 2 Islamabad Sector A Plot no. Street 6 Solid Level, Prime Location walking Distance Park GT Road Masjid & Commercial Area very Reasonable Price. For More info Please contact.","2026-03-16T19:55:42.000Z","https://media.zameen.com/thumbnails/20471362-120x90.webp","Asasa Estate & Property Management","Possesion: Yes | Corner: Yes | Park Facing: Yes | Disputed: Yes | File: Yes | Balloted: Yes | Sewerage: Yes | Electricity: Yes | Water Supply: Yes | Sui Gas: Yes | Boundary Wall: Yes | Other Plot Features: Yes | Nearby Schools: ROOTS | Nearby Hospitals: Fouji Foundation | Nearby Shopping Malls: GIGA | Nearby Restaurants: kfc | Distance From Airport (kms): 60 | Nearby Public Transport Service: Yes | Other Nearby Places: zeta mall | Security Staff: Yes | Other Facilities: Yes","1","kanal","0","0","Islamabad","Muhammad Bilawal","PKR","53826456","33.53113842","DHA Defence, DHA Defence Phase 2","73.132420845","+923377778325","https://media.zameen.com/thumbnails/294326930-800x600.webp","https://media.zameen.com/thumbnails/294326925-800x600.webp","https://media.zameen.com/thumbnails/294326926-800x600.webp","https://media.zameen.com/thumbnails/294326927-800x600.webp","https://media.zameen.com/thumbnails/294326928-800x600.webp","https://media.zameen.com/thumbnails/294326929-800x600.webp","https://media.zameen.com/thumbnails/294326931-800x600.webp","https://media.zameen.com/thumbnails/294326932-800x600.webp","https://media.zameen.com/thumbnails/294326933-800x600.webp","https://media.zameen.com/thumbnails/294326934-800x600.webp","https://media.zameen.com/thumbnails/294326935-800x600.webp","https://media.zameen.com/thumbnails/294326936-800x600.webp","https://media.zameen.com/thumbnails/294326937-800x600.webp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41500000","residential plot","sale","zameen.com","Low Budget Plot For Sale In Prime Location Walking Distance Park, GT Road In DHA 2 Sec A","https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_low_budget_plot_for_sale_in_prime_location_walking_distance_park_gt_road_in_dha_2_sec_a-53826456-339-2.html"
"5 Marla Level Plot in Ideal Location at investor price If you are interested in buying a Residential Plot in Islamabad that fits your budget? We might have what you are looking for! You can find affordable housing options in Islamabad. Properties in this locality are a total bargain, which is a plus. Make use of the best offer available on 1250 Square Feet properties right now. The price is set fairly at Rs. 13000000. The savvy buyers will not say no to buying such a fine property. Read below to find out what this property offers. Electricity is the need of the day and this Residential Plot has an active supply of it. The filtration plant ensures the availability of clean drinking water supply. You don't have to worry about sewerage disposal. A modern sewerage system is already in place. The Residential Plot comes with all basic amenities including a working sui gas connection. The property is well-protected with a boundary wall. The expert security staff will remain vigilant round the clock. Drop us a line and we'll be happy to guide you further.","2026-03-16T17:28:11.000Z",,"Usman Estate","File: Yes | Balloted: Yes | Sewerage: Yes | Electricity: Yes | Water Supply: Yes | Sui Gas: Yes | Boundary Wall: Yes | Nearby Schools: Yes | Nearby Hospitals: Yes | Nearby Shopping Malls: Yes | Nearby Restaurants: Yes | Distance From Airport (kms): Yes | Nearby Public Transport Service: Yes | Other Nearby Places: Yes | Security Staff: Yes | Other Facilities: Available","1250","sqft","0","0","Islamabad","M. Usman Safdar","PKR","46179027","33.67766","Park Enclave, Park Enclave 3","73.15306","+92512623855","https://media.zameen.com/thumbnails/257846194-800x600.webp","https://media.zameen.com/thumbnails/257846197-800x600.webp","https://media.zameen.com/thumbnails/257846200-800x600.webp","https://media.zameen.com/thumbnails/257846190-800x600.webp","https://media.zameen.com/thumbnails/257846202-800x600.webp","https://media.zameen.com/thumbnails/257846204-800x600.webp","https://media.zameen.com/thumbnails/257846205-800x600.webp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13000000","residential plot","sale","zameen.com","5 Marla Level Plot In Ideal Location","https://www.zameen.com/Property/park_enclave_park_enclave_3_5_marla_level_plot_in_ideal_location-46179027-17150-2.html"
"Residential Plot Available For sale Level | Ideal Location Plot Reasonable Demand Contact for more details.","2026-03-16T17:21:51.000Z",,"Usman Estate","Possesion: Yes | Corner: Yes | Park Facing: Yes | Disputed: Yes | File: Yes | Balloted: Yes | Sewerage: Yes | Electricity: Yes | Water Supply: Yes | Sui Gas: Yes | Boundary Wall: Yes | Other Plot Features: True | Nearby Schools: True | Nearby Hospitals: True | Nearby Shopping Malls: True | Nearby Restaurants: True | Distance From Airport (kms): True | Nearby Public Transport Service: True | Other Nearby Places: True | Security Staff: Yes | Other Facilities: True","10","marla","0","0","Islamabad","M. Usman Safdar","PKR","49766893","33.67766","Park Enclave, Park Enclave 3","73.15306","+92512623855","https://media.zameen.com/thumbnails/265478725-800x600.webp","https://media.zameen.com/thumbnails/265478726-800x600.webp","https://media.zameen.com/thumbnails/265478727-800x600.webp","https://media.zameen.com/thumbnails/265478728-800x600.webp","https://media.zameen.com/thumbnails/265478729-800x600.webp","https://media.zameen.com/thumbnails/265478730-800x600.webp","https://media.zameen.com/thumbnails/265478731-800x600.webp","https://media.zameen.com/thumbnails/265478732-800x600.webp","https://media.zameen.com/thumbnails/265478733-800x600.webp","https://media.zameen.com/thumbnails/265478734-800x600.webp","https://media.zameen.com/thumbnails/265478735-800x600.webp","https://media.zameen.com/thumbnails/265478736-800x600.webp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23500000","residential plot","sale","zameen.com","Residential Plot Available For Sale","https://www.zameen.com/Property/park_enclave_park_enclave_3_residential_plot_available_for_sale-49766893-17150-2.html"
"10 Marla Level Heighted Plot Near to Double Road Possessionable Area Ready For Construction Peaceful Environment. Reasonable Demand. Interested Persons Welcome To Visit The Property. Please Feel Free To Call Us If You Need Further Details About It. We Request That Only Serious Individuals Contact Us To Make An Immediate Deal. Please Remember To Mention Zameen. Com When Calling.","2026-03-16T17:21:15.000Z",,"Usman Estate","Possesion: Yes | Park Facing: Yes | Disputed: Yes | File: Yes | Balloted: Yes | Sewerage: Yes | Electricity: Yes | Water Supply: Yes | Sui Gas: Yes | Boundary Wall: Yes | Nearby Schools: True | Nearby Hospitals: True | Nearby Shopping Malls: True | Nearby Restaurants: True | Distance From Airport (kms): 5 km | Nearby Public Transport Service: True | Other Nearby Places: True | Security Staff: Yes | Other Facilities: Yes","10","marla","0","0","Islamabad","M. Usman Safdar","PKR","51176722","33.67766","Park Enclave, Park Enclave 3","73.15306","+92512623855","https://media.zameen.com/thumbnails/265616314-800x600.webp","https://media.zameen.com/thumbnails/284881889-800x600.webp","https://media.zameen.com/thumbnails/284881890-800x600.webp","https://media.zameen.com/thumbnails/284881891-800x600.webp","https://media.zameen.com/thumbnails/284881892-800x600.webp","https://media.zameen.com/thumbnails/284881893-800x600.webp","https://media.zameen.com/thumbnails/284881894-800x600.webp","https://media.zameen.com/thumbnails/284881895-800x600.webp","https://media.zameen.com/thumbnails/284881896-800x600.webp","https://media.zameen.com/thumbnails/284881897-800x600.webp","https://media.zameen.com/thumbnails/284881898-800x600.webp","https://media.zameen.com/thumbnails/284881899-800x600.webp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27000000","residential plot","sale","zameen.com","10 Marla Level Heighted Location | Near to Double Road","https://www.zameen.com/Property/park_enclave_park_enclave_3_10_marla_level_heighted_location_near_to_double_road-51176722-17150-2.html"
"1 Kannal Level Plot in Park Enclave Phase-2 Level Plot Ideal Location","2026-03-16T17:20:41.000Z",,"Usman Estate","Possesion: Yes | Corner: Yes | Park Facing: Yes | Disputed: Yes | File: Yes | Balloted: Yes | Sewerage: Yes | Electricity: Yes | Water Supply: Yes | Sui Gas: Yes | Boundary Wall: Yes | Other Plot Features: Yes | Nearby Schools: Yes | Nearby Hospitals: PKLI | Nearby Shopping Malls: RAYA FAIRWAYS | Nearby Restaurants: KFC AND MC DONALDS | Distance From Airport (kms): 10 | Nearby Public Transport Service: Yes | Other Nearby Places: Yes | Security Staff: Yes | Other Facilities: ok","1","kanal","0","0","Islamabad","M. Usman Safdar","PKR","52533300","33.672069","Park Enclave, Park Enclave 2","73.152571","+92512623855","https://media.zameen.com/thumbnails/278151088-800x600.webp","https://media.zameen.com/thumbnails/278151089-800x600.webp","https://media.zameen.com/thumbnails/278151090-800x600.webp","https://media.zameen.com/thumbnails/278151091-800x600.webp","https://media.zameen.com/thumbnails/278151092-800x600.webp","https://media.zameen.com/thumbnails/278151093-800x600.webp","https://media.zameen.com/thumbnails/278151094-800x600.webp","https://media.zameen.com/thumbnails/278151095-800x600.webp","https://media.zameen.com/thumbnails/278151096-800x600.webp","https://media.zameen.com/thumbnails/278151097-800x600.webp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47000000","residential plot","sale","zameen.com","1 Kanal Level Plot In Park Street","https://www.zameen.com/Property/park_enclave_park_enclave_2_1_kanal_level_plot_in_park_street-52533300-17149-2.html"
"Kanal Level Plot in Park Enclave Phase-2 Near to Mainboulvard 300 Series","2026-03-16T17:19:26.000Z",,"Usman Estate","Nearby Schools: Yes | Nearby Hospitals: Yes | Nearby Shopping Malls: Yes | Nearby Restaurants: Yes | Distance From Airport (kms): 25 | Nearby Public Transport Service: Yes | Other Nearby Places: Yes | Security Staff: Yes | Other Facilities: available","1","kanal","0","0","Islamabad","M. Usman Safdar","PKR","53520181","33.672069","Park Enclave, Park Enclave 2","73.152571","+923135187147","https://media.zameen.com/thumbnails/294679442-800x600.webp","https://media.zameen.com/thumbnails/294679443-800x600.webp","https://media.zameen.com/thumbnails/294679444-800x600.webp","https://media.zameen.com/thumbnails/294679445-800x600.webp","https://media.zameen.com/thumbnails/294679446-800x600.webp","https://media.zameen.com/thumbnails/294679447-800x600.webp","https://media.zameen.com/thumbnails/294679448-800x600.webp","https://media.zameen.com/thumbnails/294679449-800x600.webp","https://media.zameen.com/thumbnails/294679450-800x600.webp","https://media.zameen.com/thumbnails/294679451-800x600.webp","https://media.zameen.com/thumbnails/294679452-800x600.webp","https://media.zameen.com/thumbnails/294679453-800x600.webp","https://media.zameen.com/thumbnails/294679454-800x600.webp","https://media.zameen.com/thumbnails/294679455-800x600.webp","https://media.zameen.com/thumbnails/294679456-800x600.webp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45000000","residential plot","sale","zameen.com","Kanal Level Plot In Park Enclave Phase-2","https://www.zameen.com/Property/park_enclave_park_enclave_2_kanal_level_plot_in_park_enclave_phase-2-53520181-17149-2.html"
"14 Marla Plot For Sale In f-14/4islamabad For Sale: Premium Plot In f-14/4islamabad F 14/4 Plot No : 300 Serial Size : 14 Marla Prime Location Key Features: Easy Access To Main Roads And Community Amenities Located In A Fully Developed, Highly Sought-After Sector Ideal For Both Residential Construction And Investment Reasonable Price A Perfect Opportunity To Invest In A Prime Location With High Appreciation Potential. If Anyone Has A Plot In This Sector, Feel Free To Contact Me At Any Time For The Best Cash Offer","2026-03-16T16:00:20.000Z","https://media.zameen.com/thumbnails/20471429-120x90.webp","Al Sadiq Real Estate","Possesion: Yes | Corner: Yes | Park Facing: Yes | File: Yes | Balloted: Yes | Sewerage: Yes | Electricity: Yes | Water Supply: Yes | Sui Gas: Yes | Boundary Wall: Yes | Other Plot Features: Yes | Nearby Schools: y | Nearby Hospitals: y | Nearby Shopping Malls: y | Nearby Restaurants: y | Distance From Airport (kms): y | Nearby Public Transport Service: y | Other Nearby Places: y | Security Staff: Yes | Other Facilities: y","14","marla","0","0","Islamabad","Syed Asghar Kazmi","PKR","53750150","33.652637","F-14","72.933769","+923315194152","https://media.zameen.com/thumbnails/293646667-800x600.webp","https://media.zameen.com/thumbnails/293646668-800x600.webp","https://media.zameen.com/thumbnails/294938773-800x600.webp","https://media.zameen.com/thumbnails/294938774-800x600.webp","https://media.zameen.com/thumbnails/294938775-800x600.webp","https://media.zameen.com/thumbnails/294938776-800x600.webp","https://media.zameen.com/thumbnails/294938777-800x600.webp","https://media.zameen.com/thumbnails/294938778-800x600.webp","https://media.zameen.com/thumbnails/294938779-800x600.webp","https://media.zameen.com/thumbnails/294938780-800x600.webp","https://media.zameen.com/thumbnails/294938781-800x600.webp","https://media.zameen.com/thumbnails/294938782-800x600.webp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18500000","residential plot","sale","zameen.com","40-80 = 14 Marla Plot For Sale In F-14/4 Islamabad","https://www.zameen.com/Property/islamabad_f-14_40-80_14_marla_plot_for_sale_in_f-14_4_islamabad-53750150-3290-2.html"
