"Description","added_date","agency_logo","agency_name","amenities","area","area_unit","bathrooms","bedrooms","city","contact_name","currency","external_id","latitude","location","longitude","phone_number","photos/0","photos/1","photos/2","photos/3","photos/4","photos/5","photos/6","photos/7","photos/8","photos/9","photos/10","photos/11","photos/12","photos/13","photos/14","photos/15","photos/16","photos/17","photos/18","photos/19","photos/20","photos/21","photos/22","photos/23","photos/24","photos/25","photos/26","photos/27","photos/28","photos/29","photos/30","photos/31","photos/32","photos/33","photos/34","photos/35","photos/36","photos/37","photos/38","photos/39","photos/40","photos/41","photos/42","photos/43","photos/44","photos/45","photos/46","photos/47","price","property_type","purpose","source","title","url"
"AWT PHASE-2, JATI UMRAH ROAD - A VERY IDEAL LOCATION NEAR RING ROAD. THERE ARE VERY LOW PRICE PLOT AVAILABLE IN AWT . IT HAS ELECTRIC CITY, SUI GAS, GIRD STATION, AND DOWNTOWN COMMERCIAL- THERE ARE BIG PARKS,MASJID AND ALL FACILITIES. AND BAHRIA TOWN IS ALSO NEARBY. IT'S A GREAT OPPORTUNITY FOR INVESTMENT AND PLOT A HOUSE . COME QUICKLY AND GRAB YOUR PLOT OR HOUSE BEFORE PRICE GO UP. FOR GOOD INVESTMENT, CONTACT US ;","2026-03-11T19:01:01.000Z","https://media.zameen.com/thumbnails/20471727-120x90.webp","Saleem Real Estate",,"10","marla","0","0","Lahore","C. E. O Mian Nasrullah","PKR","53907778","31.354743","Raiwind Road, AWT Army Welfare Trust, AWT Phase 2","74.212191","+923228002909","https://media.zameen.com/thumbnails/295056514-800x600.webp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9900000","residential plot","sale","zameen.com","AWT 10 MARLA CORNER PLOT PRIME LOCATIO LDA APROVED VERY REASONABLE PRICE","https://www.zameen.com/Property/awt_army_welfare_trust_awt_phase_2_awt_10_marla_corner_plot_prime_locatio_lda_aproved_very_reasonable_price-53907778-3581-2.html"
"Prime 5, 7,10 & 20 Marla plots available for sale in Fazaia Housing Scheme Phase 2, featuring fully underground electricity, ensuring a neat streetscape, improved safety, and uninterrupted power distribution. LDA Approved cooperative housing scheme , Available on Bank loan. Enhanced safety, better aesthetics, and reduced maintenance issues Wide Carpeted Roads & Proper Street Lighting Water Purification Plant Clean and safe drinking water Community Center Ideal for social and educational activities IT Center Supporting modern lifestyle and digital needs Dedicated Green Belts & Parks Healthy and family-friendly environment Gated Community with 24/7 Security & Controlled Entry Approved & Well-Planned Society Peace of mind for long-term investment PAF-backed society with strong management and disciplined development High resale & rental potential due to premium infrastructure Peaceful, low-density living away from commercial congestion Ideal for immediate construction Excellent connectivity to main roads and key areas of Lahore","2026-03-11T19:00:27.000Z","https://media.zameen.com/thumbnails/98535422-120x90.webp","Mian Sons Estate","Possesion: Yes | File: Yes | Balloted: Yes | Sewerage: Yes | Electricity: Yes | Water Supply: Yes | Sui Gas: Yes | Boundary Wall: Yes | Other Plot Features: NEAR WINTER LAND, NEAR EIFFEL TOWER, NEAR IMTIAZ STORE | Nearby Schools: BAHRIA SCHOOL | Nearby Hospitals: yes  | Nearby Shopping Malls: imtaz mall  | Nearby Restaurants: yes  | Distance From Airport (kms): 25km | Nearby Public Transport Service: yes  | Other Nearby Places: NEAR NFC PHASE 2, NEAR SUI GAS SOCIETY | Security Staff: Yes | Other Facilities: COMMERCIAL MARKET AVAILABLE","5","marla","0","0","Lahore","Shayan ali","PKR","53781910","31.308143","Fazaia Housing Scheme, Fazaia Housing Scheme Phase 2","74.17463","+923007700166",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4350000","residential plot","sale","zameen.com","5 Marla Plot For Sale In Fazaia Phase 2. LDA Clear Available For Bank Loan.","https://www.zameen.com/Property/fazaia_housing_scheme_fazaia_housing_scheme_phase_2_5_marla_plot_for_sale_in_fazaia_phase_2_lda_clear_available_for_bank_loan-53781910-9148-2.html"
"Prime 5, 7,10 & 20 Marla plots available for sale in Fazaia Housing Scheme Phase 2, featuring fully underground electricity, ensuring a neat streetscape, improved safety, and uninterrupted power distribution. LDA Approved cooperative housing scheme , Available on Bank loan. Enhanced safety, better aesthetics, and reduced maintenance issues Wide Carpeted Roads & Proper Street Lighting Water Purification Plant Clean and safe drinking water Community Center Ideal for social and educational activities IT Center Supporting modern lifestyle and digital needs Dedicated Green Belts & Parks Healthy and family-friendly environment Gated Community with 24/7 Security & Controlled Entry Approved & Well-Planned Society Peace of mind for long-term investment PAF-backed society with strong management and disciplined development High resale & rental potential due to premium infrastructure Peaceful, low-density living away from commercial congestion Ideal for immediate construction Excellent connectivity to main roads and key areas of Lahore","2026-03-11T19:00:18.000Z","https://media.zameen.com/thumbnails/98535422-120x90.webp","Mian Sons Estate","Possesion: Yes | Park Facing: Yes | Balloted: Yes | Sewerage: Yes | Electricity: Yes | Water Supply: Yes | Sui Gas: Yes | Boundary Wall: Yes | Other Plot Features: available  | Nearby Schools: available  | Nearby Hospitals: available  | Nearby Shopping Malls: available  | Nearby Restaurants: available  | Distance From Airport (kms): available  | Nearby Public Transport Service: available  | Other Nearby Places: available  | Security Staff: Yes | Other Facilities: available","7","marla","0","0","Lahore","Shayan ali","PKR","53880567","31.308143","Fazaia Housing Scheme, Fazaia Housing Scheme Phase 2","74.17463","+923007700166",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5800000","residential plot","sale","zameen.com","7 Marla Plot For Sale In Fazaia Phase 2 In C Block Ideal Location Near Park And Mosque And Main road.","https://www.zameen.com/Property/fazaia_housing_scheme_fazaia_housing_scheme_phase_2_7_marla_plot_for_sale_in_fazaia_phase_2_in_c_block_ideal_location_near_park_and_mosque_and_main_road-53880567-9148-2.html"
"Prime 10, 20 & 32 Marla plots available for sale in Fazaia Housing Scheme Phase 1, featuring fully underground electricity, ensuring a neat streetscape, improved safety, and uninterrupted power distribution. Underground Electricity System Enhanced safety, better aesthetics, and reduced maintenance issues Wide Carpeted Roads & Proper Street Lighting Water Purification Plant Clean and safe drinking water Community Center Ideal for social and educational activities IT Center Supporting modern lifestyle and digital needs Dedicated Green Belts & Parks Healthy and family-friendly environment Gated Community with 24/7 Security & Controlled Entry Approved & Well-Planned Society Peace of mind for long-term investment PAF-backed society with strong management and disciplined development High resale & rental potential due to premium infrastructure Peaceful, low-density living away from commercial congestion Ideal for immediate construction Excellent connectivity to main roads and key areas of Lahore","2026-03-11T18:59:25.000Z","https://media.zameen.com/thumbnails/98535422-120x90.webp","Mian Sons Estate","Possesion: Yes | File: Yes | Balloted: Yes | Sewerage: Yes | Electricity: Yes | Water Supply: Yes | Sui Gas: Yes | Boundary Wall: Yes | Nearby Schools: available  | Nearby Hospitals: available  | Nearby Shopping Malls: available  | Nearby Restaurants: available  | Distance From Airport (kms): Nearby Airport  | Nearby Public Transport Service: available  | Other Nearby Places: Nearby  | Security Staff: Yes | Other Facilities: Yes","10","marla","0","0","Lahore","Shayan ali","PKR","53880513","31.369661","Fazaia Housing Scheme, Fazaia Housing Scheme Phase 1","74.240912","+923007700166",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19500000","residential plot","sale","zameen.com","10 Marla Plot For Sale In Fazaia Phase 1. In G Block, Excellent Location Plot Near Park And Main Road.","https://www.zameen.com/Property/fazaia_housing_scheme_fazaia_housing_scheme_phase_1_10_marla_plot_for_sale_in_fazaia_phase_1_in_g_block_excellent_location_plot_near_park_and_main_road-53880513-9238-2.html"
"If you want to live in environment which is absolutely secured and peaceful then it is the right time and the right place to grab this property. This auspicious opportunity to execute your dreams into reality. Please feel free to call us if you need further details about it.","2026-03-11T18:55:47.000Z","https://media.zameen.com/thumbnails/98535422-120x90.webp","Mian Sons Estate","Nearby Schools: city school  | Nearby Hospitals: Shokat khanum | Nearby Shopping Malls: Emporium Mall | Nearby Restaurants: Mcdonalds | Distance From Airport (kms): 12 | Nearby Public Transport Service: Dawoo Terminal  | Other Nearby Places: Yes | Security Staff: Yes | Other Facilities: IMARAT Services","1","kanal","0","0","Lahore","Balawal Pasha","PKR","53770422","31.354743","Raiwind Road, AWT Army Welfare Trust, AWT Phase 2","74.212191","+923044090092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22000000","residential plot","sale","zameen.com","One Kanal Plot For Sale In AWT Phase2","https://www.zameen.com/Property/awt_army_welfare_trust_awt_phase_2_one_kanal_plot_for_sale_in_awt_phase2-53770422-3581-2.html"
"We have the best property in Lahore that's sure to interest you. Buy your property today and be a lucky owner. As you are looking for top-notch option in DHA 11 Rahbar Phase 4 - Block S? Here's what you need. An A-class Residential Plot is available so make use of the offer right now. The perfect 5 Marla Residential Plot is available for sale now in DHA 11 Rahbar Phase 4 - Block S. If you're looking for a property priced at Rs. 5300000, you're in the right place. We have the answers to your questions - so call us today!","2026-03-11T18:38:09.000Z","https://media.zameen.com/thumbnails/292309134-120x90.webp","Aspire Properties","Possesion: Yes | Balloted: Yes | Sewerage: Yes | Electricity: Yes | Water Supply: Yes | Sui Gas: Yes | Boundary Wall: Yes | Nearby Schools: Yes | Nearby Hospitals: Yes | Nearby Shopping Malls: Yes | Nearby Restaurants: Yes | Distance From Airport (kms): 45 | Nearby Public Transport Service: Yes | Other Nearby Places: Yes | Security Staff: Yes | Other Facilities: Yes","5","marla","0","0","Lahore","Usman Ishfaq","PKR","53825537","31.382132","DHA 11 Rahbar, DHA 11 Rahbar Phase 4, DHA 11 Rahbar Phase 4 - Block S","74.292662","+923264489898","https://media.zameen.com/thumbnails/294704178-800x600.webp","https://media.zameen.com/thumbnails/294704179-800x600.webp","https://media.zameen.com/thumbnails/294704180-800x600.webp","https://media.zameen.com/thumbnails/294704181-800x600.webp","https://media.zameen.com/thumbnails/294704182-800x600.webp","https://media.zameen.com/thumbnails/294704183-800x600.webp","https://media.zameen.com/thumbnails/294704184-800x600.webp","https://media.zameen.com/thumbnails/294704185-800x600.webp","https://media.zameen.com/thumbnails/294704186-800x600.webp","https://media.zameen.com/thumbnails/294704187-800x600.webp","https://media.zameen.com/thumbnails/294704188-800x600.webp","https://media.zameen.com/thumbnails/294704189-800x600.webp","https://media.zameen.com/thumbnails/294704190-800x600.webp","https://media.zameen.com/thumbnails/294704191-800x600.webp","https://media.zameen.com/thumbnails/294704192-800x600.webp","https://media.zameen.com/thumbnails/294704193-800x600.webp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5300000","residential plot","sale","zameen.com","Good 5 Marla Residential Plot For sale In DHA 11 Rahbar Phase 4 - Block S","https://www.zameen.com/Property/dha_11_rahbar_phase_4_dha_11_rahbar_phase_4_-_block_s_good_5_marla_residential_plot_for_sale_in_dha_11_rahbar_phase_4_-_block_s-53825537-14117-2.html"
"Mikael Property Profitable Deal Residential Plot For Sale In DHA Phase 7 Paper Available From Direct Owner Meeting Possible. A Secure Platform For Your Property. 1- Near To Park 2- Shopping Mall 3- Boundary Wall 4- DP Pool Clear 5- Water Supply 6- Traditional Market 7- Front Carpeted Wide Road 8- Direct Approach To Main Road 9- Underground Electricity System 10- Reasonable Price From The Market 11- You Can Say Every Facility Available 12- For Further Information Please Contact With Me Please Share Your Requirements And Budget With Us To Make Immediate And 100% Fair Deals. Highly Qualified 24/7 For Today'S Inventory Please Call Us. We Are Available On Whats App Too.","2026-03-11T17:55:57.000Z","https://media.zameen.com/thumbnails/254329743-120x90.webp","Mekail Property","Sewerage: Yes | Electricity: Yes | Water Supply: Yes | Sui Gas: Yes | Boundary Wall: Yes | Other Plot Features: True | Nearby Schools: Yes | Nearby Hospitals: Yes | Nearby Shopping Malls: Yes | Nearby Restaurants: yes  | Distance From Airport (kms): yes  | Nearby Public Transport Service: Yes | Other Nearby Places: Yes | Security Staff: Yes | Other Facilities: Yes","2","kanal","0","0","Lahore","CEO Ali Bhatti","PKR","53757600","31.483429","DHA Defence, DHA Phase 7, DHA Phase 7 - Block T","74.488935","+923224563887","https://media.zameen.com/thumbnails/293708376-800x600.webp","https://media.zameen.com/thumbnails/293708377-800x600.webp","https://media.zameen.com/thumbnails/293708378-800x600.webp","https://media.zameen.com/thumbnails/293708379-800x600.webp","https://media.zameen.com/thumbnails/293708380-800x600.webp","https://media.zameen.com/thumbnails/293708381-800x600.webp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60000000","residential plot","sale","zameen.com","2 Kanal Residential Plot For Sale T-Block DHA Phase 7","https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_t_2_kanal_residential_plot_for_sale_t-block_dha_phase_7-53757600-1627-2.html"
"The Commercial Plot You Were Looking For Is Now Finally Up For Grabs. This Property At Rs. 120000000 Comes With Modern Features And Latest Fittings. A Property For Sale Like This Doesn'T Come Often, So Hurry Up And Make Your Booking. The Location Of Park View City - The Walk Commercial Is The Most Coveted Address In The City. The Number Of 10 Marla Options In The Park View City - The Walk Commercial Can Be Limited, So Hurry Up. Good Food, Good Life And Everything In Between Can Be Yours In Lahore. The Details Of The Property Are Listed Down Below. Possession Of Properties Is A Quick And Easy Process. Consistent And Active Electricity Connections Are In Place. You Don'T Have To Worry About Sewerage Disposal. A Modern Sewerage System Is Already In Place. Safety Is A Top Priority, So Security Staff Will Be Available On The Premise. Enjoy An Unhindered Water Supply Round The Clock. Reach Out To Us For Bookings And Details.","2026-03-11T17:42:24.000Z","https://media.zameen.com/thumbnails/20474688-120x90.webp","Al-Hayy Developers","Possesion: Yes | Corner: Yes | Park Facing: Yes | File: Yes | Balloted: Yes | Sewerage: Yes | Electricity: Yes | Water Supply: Yes | Sui Gas: Yes | Boundary Wall: Yes | Other Plot Features: its like dha raya business bay  | Nearby Schools: beacon house | Nearby Hospitals: farooq | Nearby Shopping Malls: many | Nearby Restaurants: banera | Distance From Airport (kms): 28 | Nearby Public Transport Service: all | Security Staff: Yes","10","marla","0","0","Lahore","Aftab Ahmed","PKR","53916213","31.45651","Park View City, Park View City - The Walk Commercial","74.201284","+923333626168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"120000000","commercial plot","sale","zameen.com","10 Marla Limited Commercial Plot For Sale In   The Walk II","https://www.zameen.com/Property/park_view_city_park_view_city_-_the_walk_commercial_10_marla_limited_commercial_plot_for_sale_in_the_walk_ii-53916213-21572-2.html"
"An Ideal option of residential plot is up for sale Locateed idealy Reasonable demand best for house construction Direct approach Feel free to contact us for further information and visit please dont forget to mention zameen. com while calling","2026-03-11T17:04:44.000Z","https://media.zameen.com/thumbnails/274155435-120x90.webp","Smart Home Properties","Possesion: Yes | Balloted: Yes | Sewerage: Yes | Electricity: Yes | Water Supply: Yes | Sui Gas: Yes | Boundary Wall: Yes | Nearby Schools: Yes | Nearby Hospitals: Yes | Nearby Shopping Malls: Yes | Nearby Restaurants: Yes | Distance From Airport (kms): Yes | Nearby Public Transport Service: Yes | Other Nearby Places: Yes | Security Staff: Yes | Other Facilities: Yes","1","kanal","0","0","Lahore","Muhammad Ramzan","PKR","53764263","31.429091","DHA Defence, DHA Phase 9 Prism, DHA Phase 9 Prism - Block Q","74.445001","+923007860407","https://media.zameen.com/thumbnails/295018967-800x600.webp","https://media.zameen.com/thumbnails/295018968-800x600.webp","https://media.zameen.com/thumbnails/295018969-800x600.webp","https://media.zameen.com/thumbnails/295018970-800x600.webp","https://media.zameen.com/thumbnails/295018971-800x600.webp","https://media.zameen.com/thumbnails/295018972-800x600.webp","https://media.zameen.com/thumbnails/295018973-800x600.webp","https://media.zameen.com/thumbnails/295018974-800x600.webp","https://media.zameen.com/thumbnails/295018975-800x600.webp","https://media.zameen.com/thumbnails/295018976-800x600.webp","https://media.zameen.com/thumbnails/295018977-800x600.webp","https://media.zameen.com/thumbnails/295018978-800x600.webp","https://media.zameen.com/thumbnails/295018979-800x600.webp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21500000","residential plot","sale","zameen.com","1 KANAL IDEAL LOCATION PLOT FOR SALE","https://www.zameen.com/Property/dha_phase_9_prism_dha_phase_9_prism_-_block_q_1_kanal_ideal_location_plot_for_sale-53764263-9270-2.html"
"Smart Home Properties 9 Prism Block B mein Plot No. 751 ek excellent investment option hai. Block Phase 5 aur 9 Prism ke darmiyan located hai. Direct access ki wajah se future value aur resale potential strong hai. Key Highlights: Direct access plot Block located between Phase 5 & 9 Prism High-demand & fast-developing area Excellent for long-term investment Strong resale potential Contact for demand & visit.","2026-03-11T17:04:03.000Z","https://media.zameen.com/thumbnails/274155435-120x90.webp","Smart Home Properties","Possesion: Yes | Corner: Yes | Park Facing: Yes | File: Yes | Balloted: Yes | Sewerage: Yes | Electricity: Yes | Water Supply: Yes | Sui Gas: Yes | Boundary Wall: Yes | Other Plot Features: Yes | Nearby Schools: Yes | Nearby Hospitals: Yes | Nearby Shopping Malls: Available  | Nearby Restaurants: Available  | Distance From Airport (kms): 10 | Nearby Public Transport Service: Yes | Other Nearby Places: Yes | Security Staff: Yes | Other Facilities: Yes","1","kanal","0","0","Lahore","Muhammad Ramzan","PKR","53774863","31.447947","DHA Defence, DHA Phase 9 Prism, DHA Phase 9 Prism - Block B","74.424926","+923007860407","https://media.zameen.com/thumbnails/293864832-800x600.webp","https://media.zameen.com/thumbnails/293864833-800x600.webp","https://media.zameen.com/thumbnails/293864834-800x600.webp","https://media.zameen.com/thumbnails/293864835-800x600.webp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18500000","residential plot","sale","zameen.com","9 Prism Block B Plot #751 Direct Access | Prime Investment (Block Between Phase 5 & 9 Prism)","https://www.zameen.com/Property/dha_phase_9_prism_dha_phase_9_prism_-_block_b_9_prism_block_b_plot_751_direct_access_prime_investment_block_between_phase_5_9_prism-53774863-9267-2.html"
